Url,DomainNameLength,UrlEntropy,PercentageNumericChars,DotCount,TokenCount,SubdomainCount,HasHyphenInDomain,NumberOfDigits,TldPopularity,TldLength,HyphenRatio,VeryShortTokenCount,AverageTokenLength,HasBrandPrefix,DigitToLengthRatio,ConsonantClusterScore,IsAllSubdomain,IsRandomString,RepeatedCharScore,VowelConsonantRatio,UnigramRarity,LevenshteinToBrands,BigramEnglishScore,CharacterTransitionScore,RepeatedNGramScore,ClassLabel
oticakadosh.com.br,18,3.5724313,0,2,3,1,0,0,1,2,0,1,5.3333335,0,0,0,1,0,0,0.45454547,0,0.19999999,0,0,0,0
readprint.com,13,3.5465937,0,1,2,0,0,0,1,3,0,0,6,0,0,0.25,0,0,0,0.33333334,0,0.4,0.25,0,0,1
videogameshop.me,16,3.4528196,0,1,2,0,0,0,0,2,0,1,7.5,0,0,0,0,0,0,0.46153846,0,0,0.083333336,0,0,1
l2linternational.com,20,3.4464393,0.05,1,2,0,0,1,1,3,0,0,9.5,0,0.05,0,0,0,0,0.4,0,0,0.26666668,0,0,0
emmanuelgarcia.slide.com,24,3.6572683,0,2,3,1,0,0,1,3,0,0,7.3333335,0,0,0,1,0,0.5,0.5,0,0,0.07692308,0,0,1
jikenick12and67.com,19,3.826875,0.21052632,1,2,0,0,4,1,3,0,0,9,0,0.21052632,0,0,0,0,0.36363637,0,0,0.21428572,0,0,0
hardscrabblehounds.blogspot.com,31,3.9377518,0,2,3,1,0,0,1,3,0,0,9.666667,0,0,0.6,1,0,0.5,0.2777778,0,0,0.1764706,0,0,1
ministryofchange.org,20,3.821928,0,1,2,0,0,0,1,3,0,0,9.5,0,0,0.33333334,0,0,0,0.375,0,0,0.33333334,0,0,0
grupocontableasesores.com,25,3.7034652,0,1,2,0,0,0,1,3,0,0,12,0,0,0,0,0,0,0.42857143,0,0,0.25,0,0,0
naowa.cslbehring.com,20,3.821928,0,2,3,1,0,0,1,3,0,0,6,0,0,0.33333334,1,0,0,0.6,0,0.4,0,0,0,0
